'da	d a
't	t
'wan	w a n
Acosta	ʔ a k o s t a
Agbulos	ʔ a ɡ b u l o s
Agbunag	ʔ a ɡ b u n a ɡ
Agcaoili	ʔ a ɡ k a w i l i
Aglipay	ʔ a ɡ l i p a j
Agpaoa	ʔ a ɡ p a w a
Agsalud	ʔ a ɡ s a l u d
Agtarap	ʔ a ɡ t a ɾ a p
Alcala	ʔ a l k a l a
Allasitan	ʔ a l l a s i t a n
Amami	ʔ a m a m i
Aringay	ʔ a ɾ i ŋ ɡ a j
Asin	ʔ a s i n
Atok	ʔ a t o k
Azurin	ʔ a s u ɾ i n
BLISTT	b l i s t
Bagaoisan	b a ɡ a w i s a n
Bakakeng	b a k a k e ŋ
Bakakeng	b a k a k ɯ ŋ
Bakun	b a k u n
Banaoang	b a n a w a ŋ
Bangued	b a ŋ e d
Bangued	b a ŋ ɡ e d
Barlig	b a ɾ l i ɡ
Barroga	b a r o ɡ a
Bauang	b a w a ŋ
Bauko	b a ʔ u k o
Bayombong	b a j o m b o ŋ
Beckel	b ɯ k k ɯ l
Bersamina	b e ɾ s a m i n a
Besao	b ɯ s a w
Bidduang	b i d d w a ŋ
Biernes	b j e ɾ n e s
Boliney	b o l i n e j
Boliney	b o l i n ɯ j
Bontoc	b o n t o k
Brookside	b ɾ u k s a j d
Bucaneg	b u k a n e ɡ
Bucaneg	b u k a n ɯ ɡ
Bucay	b u k a j
Bucloc	b u k l o k
Bulalayao	b u l a l a j a o
Bulosan	b u l o s a n
Bumanglag	b u m a ŋ l a ɡ
Burgos	b u ɾ ɡ o s
Burnham	b u ɾ n h a m
Caasi	k a a s i
Cabanatuan	k a b a n a t w a n
Cabaroan	k a b a ɾ o a n
Cagayan	k a ɡ a j ʔ a n
Camdas	k a m d a s
Cardenas	k a ɾ d e n a s
Casilagan	k a s i l a ɡ a n
Cuyapo	k u j a p o
Daguioman	d a ɡ i w m a n
Daguioman	d a ɡ j o m a n
Dancel	d a n s e l
Danglas	d a ŋ l a s
Daquioag	d a k i w a ɡ
Data	d a t a
Dominggo	d o m i n ɡ o
Domingo	d o m i n ɡ o
Ducusin	d u k u s i n
Duldulao	d u l d u l a w
Dumlao	d u m l a w
Echague	ʔ e t͡ʃ a ɡ e
Escoda	ʔ e s k o d a
Fariñas	f a ɾ i ɲ a s
Fonacier	f o n a s j e ɾ
Gacusan	ɡ a k u s a n
Gacutan	ɡ a k u t a n
Galicinao	ɡ a l i s i n a w
Gamiao	ɡ a m j a w
Gaoiran	ɡ a w i ɾ a n
Gresia	ɡ ɾ e s j a
Hillside	h i l s a j d
Huebes	h w e b e s
Igorotak	ʔ i ɡ o ɾ o t a k
Irisan	ʔ i ɾ i s a n
Kankanaey	k a n k a n a ʔ e j
Kankanaey	k a n k a n a ʔ ɯ j
Kias	k i j a s
Kias	k j a s
Kibungan	k i b u ŋ a n
Kristianismo	k ɾ i s t j a n i s m o
Kristiano	k ɾ i s t j a n o
Kuaresma	k w a ɾ e s m a
Lacub	l a k u b
Lagangilang	l a ɡ a ŋ i l a ŋ
Lagayan	l a ɡ a j a n
Lagmay	l a ɡ m a j
Langiden	l a ŋ i d e n
Lapeña	l a p e ɲ a
Leaño	l e a ɲ o
Libtong	l i b t o ŋ
Llanes	l j a n e s
Loakan	l o w a k a n
Luba	l u b a
Lucban	l u k b a n
Lucnab	l u k n a b
Lupao	l u p a w
Madriaga	m a d ɾ j a ɡ a
Malibcong	m a l i b k o ŋ
Mamuad	m a m w a d
Manabo	m a n a b o
Manglicmot	m a ŋ l i k m o t
Mankayan	m a n k a j a n
Mierkoles	m j e ɾ k o l e s
Naguey	n a ɡ ɯ j
Namarsua	n a m a ɾ s w a
Natonin	n a t o n i n
Okinawa	ʔ o k i n n a w a
Pacdal	p a k d a l
Pagaduan	p a ɡ a d w a n
Pagdilao	p a ɡ d i l a w
Paguirigan	p a ɡ i ɾ i ɡ a n
Panagbenga	p a n a ɡ b ɯ ŋ a
Panagbenga	p a n a ɡ b ɯ ŋ ŋ a
Paoay	p a w a j
Paracelis	p a ɾ a s e l i s
Pascua	p a s k w a
Pasdong	p a s d o ŋ
Paskua	p a s k w a
Peñarrubia	p e ɲ a r u b j a
Pidigan	p i d i ɡ a n
Pilar	p i l a ɾ
Pingad	p i ŋ a d
Pinget	p i ŋ e t
Pinget	p i ŋ ɯ t
Pinsao	p i n s a w
Puguis	p u ɡ i s
Raguindin	ɾ a ɡ i n d i n
Ramos	ɾ a m o s
Raquepo	ɾ a k e p o
Rigonan	ɾ i ɡ o n a n
Rumbaoa	ɾ u m b a w a
Sabangan	s a b a ŋ a n
Sablan	s a b l a n
Sadanga	s a d a ŋ ɡ a
Sagada	s a ɡ a d a
Sallapadan	s a l l a p a d a n
Salomague	s a l o m a ɡ w e
Sanchez	s a n t͡ʃ e s
Sanglay	s a ŋ l a j
Saud	s a ʔ u d
Setiembre	s e t j e m b ɾ e
Subec	s u b e k
Tacder	t a k d e ɾ
Tacder	t a k d ɯ ɾ
Tacderan	t a k d e ɾ a n
Tacderan	t a k d ɯ ɾ a n
Tadian	t a d d͡ʒ a n
Tayum	t a j u m
Tineg	t i n e ɡ
Tineg	t i n ɯ ɡ
Trancoville	t ɾ a ŋ k o b i l
Tublay	t u b l a j
Tubo	t u b o
Tuguegarao	t u ɡ e ɡ a ɾ a w
Tumacder	t u m a k d e ɾ
Tumacder	t u m a ɡ d e ɾ
Tumagos	t u m a ɡ o s
Ulep	ʔ u l e p
Ulep	ʔ u l ɯ p
Valdez	b a l d e s
Villaviciosa	b i l j a b i s i j o s a
Villaviciosa	b i l j a b i s j o s a
Viloria	b i l o ɾ j a
Wangal	w a ŋ a l
Yadao	j a d a w
a'n	ʔ a n
aan	ʔ a a n
abagat	ʔ a b a ɡ a t
adalem	ʔ a d a l e m
adalem	ʔ a d a l ɯ m
adayo	ʔ a d a j o
adda	a d d a
addayo	a d d a j o
adigi	ʔ a d i ɡ i
adipen	ʔ a d i p ɛ n
adjetivo	ʔ a d h e t i b o
agadal	ʔ a ɡ a d a l
aganak	ʔ a ɡ a n a k
agarak	ʔ a ɡ a ɾ a k
agari	ʔ a ɡ a r i
agbatok	ʔ a ɡ b a t u k
agdait	ʔ a ɡ d a ʔ i t
agdan	ʔ a ɡ d a n
agek	ʔ a ɡ ɛ k
aggingined	ʔ a ɡ ɡ i ŋ i n e d
aggingined	ʔ a ɡ ɡ i ŋ i n ɯ d
agkatawa	ʔ a ɡ k a t a w a
aglako	ʔ a ɡ l a k o
aglangoy	ʔ a ɡ l a ŋ o j
agong	ʔ a ɡ o ŋ
agsangit	ʔ a ɡ s a ŋ i t
agsigarilio	ʔ a ɡ s i ɡ a ɾ i l j o
agtaray	ʔ a ɡ t a ɾ a j
aguray	ʔ a ɡ u ɾ a j
agus	ʔ a ɡ u s
aguyek	ʔ a ɡ u j e k
aguyek	ʔ a ɡ u j ɯ k
agyamanak	ʔ a ɡ j a m a n a k
akkub	a k k u b
alamano	ʔ a l a m a n o
aldao	ʔ a l d a o
alibukay	ʔ a l i b u k a j
alikamen	ʔ a l i k a m e n
alingo	ʔ a l i ŋ o
almidor	ʔ a l m i d o ɾ
alsem	ʔ a l s e m
alsem	ʔ a l s ɯ m
ambulansia	ʔ a m b u l a n s j a
amian	ʔ a m j a n
amianan	ʔ a m j a n a n
amin	ʔ a m i n
andidit	ʔ a n d i d i t
angep	ʔ a ŋ ɛ p
angep	ʔ a ŋ ɯ p
anges	ʔ a ŋ ɛ p
anges	ʔ a ŋ ɯ p
anggo	ʔ a ŋ ɡ o
angin	ʔ a ŋ i n
angkas	ʔ a ŋ k a s
angkat	ʔ a ŋ k a t
angkit	ʔ a ŋ k i t
angot	ʔ a ŋ u t
angseg	ʔ a ŋ s e ɡ
ania	ʔ a n j a
aniaman	ʔ a n j a m a n
anibong	ʔ a n i b o ŋ
anio	ʔ a n i j o
anio	ʔ a n j o
anis	ʔ a n i s
anyamet	ʔ a n j a m e t
anyamet	ʔ a n j a m ɯ t
apal	ʔ a p a l
apaman	ʔ a p a m a n
apges	ʔ a p ɡ ɛ s
apges	ʔ a p ɡ ɯ s
apin	ʔ a p i n
apoy	ʔ a p o i̯
apro	ʔ a p ɾ o
apros	ʔ a p ɾ o s
aramang	ʔ a ɾ a m a ŋ
aramid	ʔ a ɾ a m i d
arban	ʔ a ɾ b a n
arbis	ʔ a ɾ b i s
arem	ʔ a ɾ ɛ m
arem	ʔ a ɾ ɯ m
ariek	ʔ a ɾ j ɛ k
ariek	ʔ a ɾ j ɯ k
arimadeng	ʔ a ɾ i m a d ɛ ŋ
arimadeng	ʔ a ɾ i m a d ɯ ŋ
arimokamok	ʔ a ɾ i m o k a m o k
ariring	ʔ a ɾ i ɾ i ŋ
aririt	ʔ a ɾ i ɾ i t
ariwatang	ʔ a ɾ i w a t a ŋ
ariwekwek	ʔ a ɾ i w ɛ k w ɛ k
ariwekwek	ʔ a ɾ i w ɯ k w ɯ k
arked	ʔ a ɾ k ɛ d
arked	ʔ a ɾ k ɯ d
arko	ʔ a ɾ k o
arnged	ʔ a ɾ ŋ ɛ d
arnged	ʔ a ɾ ŋ ɯ d
arod	ʔ a ɾ o d
aroo	ʔ a ɾ o ʔ o
aros	ʔ a ɾ u s
artem	ʔ a ɾ t ɛ m
artem	ʔ a ɾ t ɯ m
arusadanan	ʔ a ɾ u s a d a n a n
asar	ʔ a s a ɾ
asep	ʔ a s ɛ p
asep	ʔ a s ɯ p
asing	ʔ a s i ŋ
asok	ʔ a s o k
aspili	ʔ a s p i l i
asping	ʔ a s p i ŋ
asug	ʔ a s u ɡ
atap	ʔ a t a p
atep	ʔ a t ɛ p
atep	ʔ a t ɯ p
atio	ʔ a t j o
atsuete	a t͡s u ɛ t ɛ
atsuete	a t͡ʃ u ɛ t ɛ
awag	ʔ a w a ɡ
awar	ʔ a w a ɾ
ayat	ʔ a j a t
ayaten	ʔ a j a t e n
ayaten	ʔ a j a t ɯ n
ayoan	ʔ a j o ʔ a n
ayup	ʔ a j u p
baag	b a ʔ a ɡ
baaw	b a ʔ a w
babai	b a b a ʔ i
babawi	b a b a w i
badang	b a d a ŋ
bado	b a d o
baen	b a ʔ e n
baen	b a ʔ ɛ n
baetan	b a ɛ t a n
baetan	b a ɯ t a n
bagi	b a ɡ i
bagida	b a ɡ i d a
bagik	b a ɡ i k
bagim	b a ɡ i m
bagimi	b a ɡ i m i
bagina	b a ɡ i n a
bagis	b a ɡ ɛ s
bagita	b a ɡ i t a
bagitayo	b a ɡ i t a j o
bagius	b a ɡ j u s
bagiyo	b a ɡ i j o
bagkong	b a ɡ k o ŋ
bain	b a ʔ i n
bakag	b a k a ɡ
bakia	b a k j a
bakir	b a k i ɾ
baknang	b a k n a ŋ
bakwit	b a k w i t
balang	b a l a ŋ
balaniog	b a l a n j o ɡ
balasang	b a l a s a ŋ
balbalay	b a l b a l a j
bales	b a l ɛ s
bales	b a l ɯ s
balete	b a l ɛ t ɛ
baliad	b a l j a d
balibad	b a l i b a d
baligawgaw	b a l i ɡ a u ɡ a u
balikas	b a l i k a s
balla	b a l l a
balligi	b a l l i ɡ i
balon	b a l u n
banag	b a n a ɡ
banat	b a n a t
bandera	b a n d ɛ ɾ a
bandus	b a n d u s
bangar	b a ŋ a ɾ
bangir	b a ŋ i ɾ
bangking	b a ŋ k i ŋ
banglo	b a ŋ l o
baniaga	b a n j a ɡ a
banias	b a n j a s
bannawag	b a n n a w a ɡ
bannug	b a n n u ɡ
bantayan	b a n t a j a n
bao	b a ʔ u
baon	b a u n
baot	b a ʔ u t
bapa	b a p a
barekbek	b a ɾ ɛ k b ɛ k
barekbek	b a ɾ ɯ k b ɯ k
baro	b a ɾ o
barot	b a ɾ u t
bartek	b a ɾ t ɛ k
bartek	b a ɾ t ɯ k
basar	b a s a ɾ
baskag	b a s k a ɡ
bassit	b a s s i t
bassit	b a t t i t
batea	b a t e a
bateng	b a t ɛ ŋ
bateng	b a t ɯ ŋ
batikuleng	b a t i k u l ɛ ŋ
batikuleng	b a t i k u l ɯ ŋ
bawi	b a w i
bayada	b a j a d a
bayawak	b a j a w a k
baybay	b a i b a i
bayuot	b a j u ʔ u t
bedbed	b ɛ d b ɛ d
bedbed	b ɯ d b ɯ d
beh	b e h
beinte	b e j n t e
beinte	b e ʔ i n t e
bendision	b e n d i s j o n
bengngat	b ɛ ŋ ŋ a t
bengngat	b ɯ ŋ ŋ a t
bessang	b ɛ s s a ŋ
bessang	b ɯ s s a ŋ
bettak	b ɛ t t a k
bettak	b ɯ t t a k
biag	b j a ɡ
biblioteka	b i b l i o t e k a
bilanggo	b i l a ŋ ɡ o
bittaog	b i t t a ʔ o ɡ
bituen	b i t w e n
bituen	b i t w ɯ n
bitwen	b i t w e n
bitwen	b i t w ɯ n
bobeda	b o b e d a
botones	b o t o n ɛ s
botos	b o t o s
buaya	b w a j a
budo	b u d u
buelta	b w e l t a
bugaso	b u ɡ a s o
bugi	b u ɡ i
buis	b w i s
bukbok	b u k b u k
buklaw	b u k l a w
bullo	b u l l u
butaka	b u t a k a
buwaya	b u w a j a
calis	k a l i s
daak	d a ʔ a k
daeg	d a ʔ ɛ ɡ
daeg	d a ʔ ɯ ɡ
dagidi	d a ɡ i d i
dagidiay	d a ɡ i d i j a j
dagidiay	d a ɡ i d j a j
dagijai	d a ɡ i d j a j
dagitay	d a ɡ i t a i
dagsen	d a ɡ s e n
dagsen	d a ɡ s ɯ n
dagus	d a ɡ u s
daig	d a ʔ i ɡ
dait	d a ʔ i t
dakami	d a k a m i
dakap	d a k a p
dakay	d a k a j
dakayo	d a k a j o
dakkel	d a k k e l
dakkel	d a k k ɯ l
daklis	d a k l i s
dakulap	d a k u l a p
dalayap	d a l a j a p
dalem	d a l e m
dalem	d a l ɯ m
dalos	d a l o s
dalus	d a l u s
dama	d a m a
damag	d a m a ɡ
danum	d a n u m
dapo	d a p o
darat	d a ɾ a t
data	d a t a
datayo	d a t a j o
dayag	d a j a ɡ
dayaw	d a j a w
daydiay	d a i d j a j
debosion	d e b o s j o n
degdeg	d ɛ ɡ d ɛ ɡ
degdeg	d ɯ ɡ d ɛ ɡ
degdeg	d ɯ ɡ d ɯ ɡ
demonio	d e m o n j o
dengdeng	d e ŋ d e ŋ
dengdeng	d ɯ ŋ d e ŋ
dengngeg	d ɛ ŋ ŋ ɛ ɡ
